Day fraction since midnight on 2/21/2021,2-3 μm,3-5 μm,5-9 μm,9-17 μm,17-33 μm,33-65 μm,Turb settled w/ blanket ()
1.901062689,211.36,102.63,65.28,8.1,1.1,1.98,0.211600454
1.906849792,211.1616162,103.4343434,65.28282828,8.515151515,1.191919192,2.27,0.218720698
1.91263689,202.89,99.15,62.95,8.05,1.09,2.14,0.214294744
1.918423987,198.5959596,96.67676768,60.34343434,7.747474747,1.141414141,2.080808081,0.212568843
1.924211078,200.8787879,99.03030303,63.80808081,9.555555556,2.111111111,2.51,0.248266039
1.929998168,201.1632653,98.76530612,62.37755102,8.428571429,1.43877551,2.262626263,0.215612793
1.935785254,198.7474747,97.37373737,62.31313131,7.909090909,1.383838384,2.27,0.223790907
1.941572339,201.29,98.45,63.08,9.27,1.35,2.78,0.30180794
1.947359422,197.4040404,96.2020202,62.01010101,7.97979798,1.262626263,2.151515152,0.208214647
1.953146501,197.3469388,97.09183673,61.74489796,8.153061224,1.102040816,2.05,0.218327021
1.958933579,202.6969697,99.92929293,62.97979798,8.01010101,1,1.97,0.202700365
1.964720652,207.66,102.96,64.89,8.12,1.17,2.05,0.221121065
1.970507726,214.6969697,105.3838384,67.39393939,8.525252525,1.191919192,1.81,0.211569536
1.976294797,224.5151515,110.2323232,69.90909091,8.98989899,1.242424242,1.909090909,0.214487447
